I proposed to my girlfriend over dinner at a restaurant.,I developed a new kind of confectionary treat. Everyone seemed to enjoy the treat.
I went to a fine dining restaurant. I had to wait for my party before I was seated.,My package took an extra day to be delivered at my house.
I went to get boba at the tea shop.,"I felt tired, so I took a nap on the floor under my desk."
"I woke up and went to the park for my favorite yoga instructor's class, and she did not disappoint.",I decided to develop my own housepaint. I came up with a uniquely textured paint.
I went on vacation.,I decided to try baking sourdough bread.
"I played darts with my friends, and I missed the board.",I am pessimistic about my upcoming medical exam.
My parents came to visit and they brought their adorable dog with them.,"I decided it was time I learned to cook, so I signed up for cooking classes.  I discovered I am actually good at cooking with a little instruction."
My nephew and I played video games and I lost the game and he won the game.,I went to Disneyland for the first time. I got sick on a rollercoaster.
"I was playing outfield at the ball game. When the ball was hit to me, I dropped it out of my glove.",I was taken captive as a prisoner of war. The food was bad.
I went to the school dance. My boyfriend gave me a flower and took me to dinner before.,I saw an old friend yesterday and he told me he got a raise.
I went to the animal trainer to pick up my dog from a week of puppy training.,My daughter told me she talks to her stuffed animals.
I'm putting on my clothes after getting out of the pool.,I went to the science lab to finish up my final report on my long experiment.
I mailed a letter the other day and the recipient called to thank me.,A key fell off the keyboard on my laptop. My company's IT department replaced it for free after a few days.
I loaded up my favorite video game to play with friends online.,"When I reviewed the day's math assignment, I realized I already knew it all."
I harvested the corn in my home garden.,My flight was delayed at the airport but I got a partial refund on my ticket for the inconvenience.
I decided to chop some firewood in the woods behind my house. All the wood was wet and the ground was muddy.,I took the shortcut to the store my cousin got lost.
The new soap I bought helps moisturize my skin.,I went on a date with a girl and we found out we dated the same person.
I spent the afternoon volunteering at a homeless shelter.,I drove to the DMV.
I decided to search my couch cushions. All I found were crumbs.,I went rock climbing in a remote area. I slid down the side of the mountain on my backside.
I took my mother to a restaurant. She was grateful at the gesture.,I recently announced I am getting a new smartphone.
I got my first car this week as a birthday present.,I was with my friends at the video arcade. We put our money together to get a pizza.
I had been dropping hints for weeks to my husband that I wanted to go to the spa for Mother's Day.  The only thing my husband got me for Mother's Day was some half dead flowers from the gas station.,My ninety day review at work was today.  I was written up for being late too many times.
My parents took me to a ski resort for Christmas vacation.,It was my 40th birthday. I used a birthday coupon to get a pizza discount.
"When I asked my brother where my flip-flops were, he tossed them to me.",I went to a funeral. I prepared the deceased favorite dish.
I poured out my drink because there was a fly in it.,I raised rabbits in cages near my home. The got out and went into the woods.
